,Unnamed: 0.1,Unnamed: 0,service_date,route_id,direction,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,earliness,delta
107520,114152,4343735,2020-09-10,39,Outbound,48641668.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 11:49:00,1900-01-01 11:43:07,720.0,879.0,,353.0
107566,114202,4343785,2020-09-10,39,Outbound,48641698.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 12:56:00,1900-01-01 12:59:44,720.0,861.0,,224.0
108520,115172,4438961,2020-09-11,39,Inbound,48655441.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 08:35:00,1900-01-01 08:34:23,420.0,287.0,,37.0
108566,115218,4439007,2020-09-11,39,Inbound,48655444.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 09:10:00,1900-01-01 09:00:37,300.0,588.0,,563.0
109520,116209,4439998,2020-09-11,39,Outbound,48655315.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 07:14:00,1900-01-01 07:13:36,480.0,546.0,,24.0
109566,116257,4440046,2020-09-11,39,Outbound,48655431.0,41391,nuniv,3.0,Midpoint,Headway,1900-01-01 07:51:00,1900-01-01 07:49:59,360.0,252.0,,61.0
110520,117246,4444384,2020-09-11,439,Outbound,48653351.0,6611,ltnah,4.0,Midpoint,Schedule,1900-01-01 18:31:00,1900-01-01 18:34:17,,,,197.0
110566,117293,4519174,2020-09-12,39,Inbound,48665191.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 06:16:00,1900-01-01 06:12:37,900.0,782.0,,203.0
111520,118267,4520148,2020-09-12,39,Outbound,48665264.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 06:24:00,1900-01-01 06:29:33,900.0,974.0,,333.0
111566,118313,4520194,2020-09-12,39,Outbound,48665194.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 07:44:00,1900-01-01 07:44:11,900.0,898.0,,11.0
112520,119286,4574819,2020-09-13,39,Inbound,48671585.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 10:05:00,1900-01-01 10:05:21,780.0,803.0,,21.0
112566,119333,4574866,2020-09-13,39,Inbound,48671695.0,11389,hunbv,8.0,Midpoint,Headway,1900-01-01 11:04:00,1900-01-01 11:01:35,720.0,834.0,,145.0
113520,120306,4575839,2020-09-13,39,Outbound,48671717.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 15:49:00,1900-01-01 15:48:21,720.0,940.0,,39.0
113566,120356,4575889,2020-09-13,39,Outbound,48671621.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 16:54:00,1900-01-01 16:52:19,720.0,634.0,,101.0
114520,121327,4649494,2020-09-14,39,Inbound,48684346.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 15:55:00,1900-01-01 15:49:39,600.0,414.0,,321.0
114566,121373,4649540,2020-09-14,39,Inbound,48684280.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 16:41:00,1900-01-01 16:35:02,540.0,538.0,,358.0
115520,122346,4650513,2020-09-14,39,Outbound,48684312.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 14:14:00,1900-01-01 14:11:24,720.0,633.0,,156.0
115566,122394,4650561,2020-09-14,39,Outbound,48684378.0,10642,fhill,6.0,Endpoint,Headway,1900-01-01 14:56:00,1900-01-01 14:49:00,420.0,675.0,,420.0
116520,123374,4745222,2020-09-15,39,Inbound,48697975.0,175,copst,9.0,Midpoint,Headway,1900-01-01 10:21:00,1900-01-01 10:13:45,720.0,809.0,,435.0
116566,123420,4745268,2020-09-15,39,Inbound,48697921.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 11:17:00,1900-01-01 11:11:18,720.0,803.0,,342.0
117520,124397,4746245,2020-09-15,39,Outbound,48697864.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 08:29:00,1900-01-01 08:26:38,420.0,464.0,,142.0
117566,124443,4746291,2020-09-15,39,Outbound,48697918.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 09:06:00,1900-01-01 09:00:17,420.0,363.0,,343.0
118520,125433,4841102,2020-09-16,39,Inbound,48711683.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 06:43:00,1900-01-01 06:42:53,420.0,234.0,,7.0
118566,125483,4841152,2020-09-16,39,Inbound,48711708.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 07:17:00,1900-01-01 07:08:47,660.0,285.0,,493.0
119520,126481,4842150,2020-09-16,39,Inbound,48711812.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 23:59:00,1900-01-01 23:59:24,660.0,717.0,,24.0
119566,126527,4842196,2020-09-16,39,Inbound,48711755.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-02 00:45:00,1900-01-02 00:46:58,660.0,833.0,,118.0
120520,127507,4843176,2020-09-16,39,Outbound,48711814.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 23:00:00,1900-01-01 23:00:58,720.0,446.0,,58.0
120566,127554,4843223,2020-09-16,39,Outbound,48711806.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 23:57:00,1900-01-01 23:59:21,600.0,975.0,,141.0
121520,128530,4938373,2020-09-17,39,Inbound,48725451.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 19:17:00,1900-01-01 19:09:23,600.0,485.0,,457.0
121566,128578,4938421,2020-09-17,39,Inbound,48725428.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 20:16:00,1900-01-01 20:12:13,720.0,401.0,,227.0
122520,129573,4939416,2020-09-17,39,Outbound,48725363.0,41391,nuniv,3.0,Midpoint,Headway,1900-01-01 18:48:00,1900-01-01 18:50:28,540.0,718.0,,148.0
122566,129619,4939462,2020-09-17,39,Outbound,48725527.0,23391,bbsta,1.0,Startpoint,Headway,1900-01-01 19:39:00,1900-01-01 19:39:24,660.0,567.0,,24.0
123520,130589,5034506,2020-09-18,39,Inbound,48739180.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 15:55:00,1900-01-01 15:54:41,600.0,166.0,,19.0
123566,130635,5034552,2020-09-18,39,Inbound,48739114.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 16:41:00,1900-01-01 16:41:42,540.0,669.0,,42.0
124520,131599,5035516,2020-09-18,39,Outbound,48739121.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 14:02:00,1900-01-01 14:02:31,720.0,615.0,,31.0
